Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification, Revenue 
X1,2015,South America,Blue,Hybrid,Manual,5,161729,89237,4717,Low," 420,930,929 "
X5,2017,Asia,White,Hybrid,Manual,2.7,78231,36160,4458,Low," 161,201,280 "
M5,2011,Asia,Blue,Hybrid,Automatic,2.7,131302,34524,6604,Low," 227,996,496 "
X3,2012,Middle East,Red,Hybrid,Manual,2,78332,33681,5331,Low," 179,553,411 "
X5,2015,Asia,Blue,Petrol,Manual,3.9,49940,54415,3996,Low," 217,442,340 "
5 Series,2021,Middle East,Silver,Diesel,Automatic,3.8,88090,80052,3762,Low," 301,155,624 "
X5,2022,Africa,Grey,Hybrid,Manual,1.9,122378,30538,2469,Low," 75,398,322 "
7 Series,2019,Europe,Black,Diesel,Automatic,3.1,110590,41878,9815,High," 411,032,570 "
M5,2012,Middle East,Silver,Hybrid,Automatic,3.8,162391,50305,4963,Low," 249,663,715 "
X3,2015,Europe,Red,Hybrid,Automatic,3.2,148122,113171,6347,Low," 718,296,337 "
M5,2015,Africa,Grey,Diesel,Manual,3.9,98426,30619,9216,High," 282,184,704 "
X1,2011,Africa,White,Petrol,Manual,4.4,37311,97240,1503,Low," 146,151,720 "
X5,2016,Europe,Blue,Electric,Automatic,3.9,167459,54898,2593,Low," 142,350,514 "
X6,2021,South America,White,Petrol,Automatic,3.7,122614,48133,9378,High," 451,391,274 "
M5,2011,Asia,Red,Electric,Manual,4.5,114139,90218,8204,High," 740,148,472 "
M5,2015,Middle East,Black,Petrol,Automatic,4.7,196669,107370,9512,High," 1,021,303,440 "
X3,2010,Asia,Silver,Electric,Automatic,2.9,166318,105159,1810,Low," 190,337,790 "
M3,2012,South America,Red,Hybrid,Automatic,2.1,71905,45769,4317,Low," 197,584,773 "
5 Series,2011,South America,Red,Diesel,Manual,4.4,40831,36221,5876,Low," 212,834,596 "
X5,2016,South America,White,Petrol,Automatic,2.2,160040,36769,5845,Low," 214,914,805 "
i3,2023,Europe,Silver,Electric,Automatic,4.8,49369,95180,2804,Low," 266,884,720 "
X3,2013,Africa,Black,Diesel,Automatic,1.6,81998,107977,8833,High," 953,760,841 "
i3,2017,South America,Black,Electric,Manual,4.7,158460,112207,6104,Low," 684,911,528 "
7 Series,2015,Africa,Black,Diesel,Manual,3.6,66071,59419,2400,Low," 142,605,600 "
7 Series,2021,Europe,White,Petrol,Automatic,4.2,24978,85100,5742,Low," 488,644,200 "
X6,2019,South America,Blue,Hybrid,Automatic,2.9,108230,43347,3278,Low," 142,091,466 "
i8,2013,Asia,Black,Electric,Manual,5,196432,99870,2630,Low," 262,658,100 "
X5,2014,Middle East,Blue,Hybrid,Manual,2.3,99823,30760,4087,Low," 125,716,120 "
i3,2022,North America,Red,Hybrid,Automatic,2.4,15427,69510,3083,Low," 214,299,330 "
M5,2022,Africa,Red,Hybrid,Automatic,1.7,155741,95831,6761,Low," 647,913,391 "
M5,2024,Middle East,White,Hybrid,Manual,4.8,191,63170,2022,Low," 127,729,740 "
3 Series,2024,North America,Red,Diesel,Automatic,3.1,134826,54686,2025,Low," 110,739,150 "
X5,2018,Middle East,Silver,Diesel,Automatic,3.9,121192,93932,6875,Low," 645,782,500 "
i3,2016,North America,Silver,Hybrid,Manual,3.9,103613,105890,6412,Low," 678,966,680 "
i8,2019,North America,Silver,Diesel,Automatic,4.6,172025,74219,3784,Low," 280,844,696 "
3 Series,2023,North America,Red,Electric,Manual,3.8,36813,70992,5605,Low," 397,910,160 "
i8,2023,Middle East,White,Hybrid,Automatic,3.5,162217,79001,1656,Low," 130,825,656 "
X3,2018,Middle East,Grey,Electric,Manual,4,141754,50295,7113,High," 357,748,335 "
i8,2016,Asia,White,Hybrid,Automatic,4.1,183343,59638,2036,Low," 121,422,968 "
5 Series,2021,South America,Red,Diesel,Manual,2.2,78125,97471,5990,Low," 583,851,290 "
3 Series,2010,South America,Blue,Petrol,Automatic,1.9,28212,73122,287,Low," 20,986,014 "
7 Series,2021,Europe,Red,Diesel,Manual,1.8,122175,48969,1014,Low," 49,654,566 "
5 Series,2017,Africa,White,Petrol,Manual,2.8,176915,35622,5823,Low," 207,426,906 "
M3,2013,North America,Black,Diesel,Manual,3.2,120445,105279,6711,Low," 706,527,369 "
M3,2012,Africa,Silver,Electric,Manual,3.7,14313,72605,2171,Low," 157,625,455 "
5 Series,2023,South America,White,Hybrid,Manual,4.9,160890,46027,9389,High," 432,147,503 "
3 Series,2022,North America,Black,Electric,Manual,2.7,63412,77129,2914,Low," 224,753,906 "
i3,2016,North America,Black,Hybrid,Manual,4.2,115173,90518,7865,High," 711,924,070 "
5 Series,2021,Africa,White,Hybrid,Automatic,3.4,65021,57139,9558,High," 546,134,562 "
X1,2012,South America,Black,Petrol,Automatic,2.3,163264,37316,3706,Low," 138,293,096 "
5 Series,2017,North America,Silver,Diesel,Automatic,3.7,108495,74148,1731,Low," 128,350,188 "
X6,2015,South America,Red,Petrol,Automatic,4.9,5184,80035,3452,Low," 276,280,820 "
M3,2014,South America,Blue,Hybrid,Manual,1.9,132514,63247,4224,Low," 267,155,328 "
3 Series,2013,North America,White,Hybrid,Automatic,3.3,73351,99424,9490,High," 943,533,760 "
X1,2017,North America,Silver,Petrol,Manual,1.7,19079,77217,9404,High," 726,148,668 "
X5,2017,North America,Silver,Electric,Automatic,2.6,83905,94217,9841,High," 927,189,497 "
X6,2021,Middle East,Black,Hybrid,Automatic,3.7,119323,114049,3291,Low," 375,335,259 "
M5,2010,Europe,Red,Hybrid,Automatic,4.4,4111,44452,1549,Low," 68,856,148 "
i8,2018,Europe,Black,Electric,Manual,4.1,67568,31073,3042,Low," 94,524,066 "
5 Series,2023,North America,White,Hybrid,Manual,3.1,143679,76244,7908,High," 602,937,552 "
X3,2014,North America,Silver,Hybrid,Manual,4.7,170957,42481,9305,High," 395,285,705 "
X5,2013,Middle East,Blue,Electric,Manual,2.6,104967,55177,1406,Low," 77,578,862 "
i8,2015,Africa,White,Hybrid,Automatic,4.1,56040,34856,2558,Low," 89,161,648 "
M5,2015,Europe,White,Hybrid,Manual,3.2,26401,67419,2314,Low," 156,007,566 "
3 Series,2011,North America,Silver,Electric,Manual,4.6,160396,87320,750,Low," 65,490,000 "
M5,2017,Europe,Blue,Hybrid,Automatic,4.3,12266,112579,5517,Low," 621,098,343 "
X1,2016,South America,Grey,Electric,Automatic,4.7,125711,56777,3728,Low," 211,664,656 "
X3,2010,South America,White,Hybrid,Manual,2.2,36643,64621,6408,Low," 414,091,368 "
X5,2014,North America,Grey,Petrol,Automatic,3.8,170342,83753,2697,Low," 225,881,841 "
X1,2021,Middle East,Grey,Diesel,Manual,4.1,149204,84752,6526,Low," 553,091,552 "
i8,2015,Europe,Black,Electric,Automatic,4.1,38736,89906,5543,Low," 498,348,958 "
i8,2013,Europe,Red,Diesel,Automatic,3.3,119334,95917,7216,High," 692,137,072 "
i3,2011,Europe,Red,Electric,Manual,1.5,183414,53557,7568,High," 405,319,376 "
M5,2022,North America,Grey,Electric,Manual,2.4,172468,87950,1793,Low," 157,694,350 "
X6,2023,Europe,Black,Petrol,Manual,2.6,196129,105143,2079,Low," 218,592,297 "
5 Series,2013,North America,Red,Diesel,Manual,4.5,111377,62992,8643,High," 544,439,856 "
X3,2010,Asia,Red,Electric,Manual,4.4,157224,96685,1668,Low," 161,270,580 "
7 Series,2016,Middle East,Black,Petrol,Automatic,1.9,99816,91715,7144,High," 655,211,960 "
7 Series,2011,Africa,White,Diesel,Automatic,4.8,77930,64002,3033,Low," 194,118,066 "
3 Series,2022,North America,White,Electric,Automatic,2.1,199715,104432,7377,High," 770,394,864 "
M3,2011,Middle East,Blue,Petrol,Manual,3,180726,91438,7352,High," 672,252,176 "
i8,2018,Asia,Blue,Electric,Automatic,2.3,89348,72847,7793,High," 567,696,671 "
X1,2014,Asia,Silver,Diesel,Automatic,4.5,177179,57489,6117,Low," 351,660,213 "
i8,2011,Asia,Grey,Petrol,Automatic,4.1,156592,37478,8252,High," 309,268,456 "
i8,2020,Europe,Grey,Hybrid,Automatic,2.7,82243,84128,1690,Low," 142,176,320 "
M5,2018,Asia,Silver,Petrol,Automatic,3.9,146562,101955,4384,Low," 446,970,720 "
M3,2018,South America,Silver,Hybrid,Automatic,2.1,83872,89070,6133,Low," 546,266,310 "
X1,2010,Middle East,Blue,Diesel,Manual,2.8,102968,81511,711,Low," 57,954,321 "
X1,2020,Africa,Red,Petrol,Manual,2.8,89267,94050,5196,Low," 488,683,800 "
X3,2012,Africa,Grey,Petrol,Automatic,2.3,182727,82594,3860,Low," 318,812,840 "
X1,2013,Middle East,Silver,Diesel,Manual,4.6,51734,118677,9064,High," 1,075,688,328 "
X5,2023,Africa,Grey,Hybrid,Automatic,3.9,32325,93067,8485,High," 789,673,495 "
X3,2016,Asia,White,Electric,Automatic,2.5,155930,119008,9728,High," 1,157,709,824 "
7 Series,2019,Africa,Silver,Petrol,Manual,2.3,96597,56247,8273,High," 465,331,431 "
X1,2013,Middle East,Silver,Electric,Manual,1.6,82337,76241,9419,High," 718,113,979 "
i8,2011,Africa,Red,Hybrid,Automatic,2.7,13048,46332,894,Low," 41,420,808 "
M5,2016,Europe,Silver,Hybrid,Manual,3.3,184512,118129,5591,Low," 660,459,239 "
X3,2015,Africa,White,Petrol,Automatic,2.5,160755,108591,9932,High," 1,078,525,812 "
i3,2012,Europe,White,Hybrid,Manual,4,31578,101424,7448,High," 755,405,952 "
5 Series,2015,Asia,Blue,Hybrid,Manual,2.9,92523,74126,3362,Low," 249,211,612 "
3 Series,2020,South America,Silver,Diesel,Manual,2.6,197144,93553,1525,Low," 142,668,325 "
7 Series,2024,North America,Silver,Diesel,Automatic,4.8,141389,109047,8970,High," 978,151,590 "
3 Series,2015,Europe,Grey,Hybrid,Automatic,2.4,122257,110100,7462,High," 821,566,200 "
X3,2021,Europe,Black,Hybrid,Automatic,2.9,99318,92691,6298,Low," 583,767,918 "
i3,2014,Asia,Red,Hybrid,Manual,2.8,127441,92963,6736,Low," 626,198,768 "
M3,2013,North America,Silver,Diesel,Automatic,2.3,102640,113202,503,Low," 56,940,606 "
3 Series,2019,Europe,Grey,Electric,Manual,2.3,114970,38226,9492,High," 362,841,192 "
X3,2021,Asia,Grey,Diesel,Manual,2.6,185035,109306,8279,High," 904,944,374 "
X3,2024,Middle East,Silver,Hybrid,Manual,4.5,91831,67108,9166,High," 615,111,928 "
i8,2010,Europe,Black,Electric,Manual,4.2,105586,38343,6539,Low," 250,724,877 "
5 Series,2019,Asia,White,Electric,Manual,3.9,2094,91193,4092,Low," 373,161,756 "
X6,2015,North America,Red,Petrol,Automatic,3.1,108173,67702,1873,Low," 126,805,846 "
X5,2011,Asia,Silver,Diesel,Manual,3.3,194633,50628,5763,Low," 291,769,164 "
X6,2022,Europe,White,Diesel,Automatic,2.4,157267,90985,6431,Low," 585,124,535 "
X3,2012,Europe,White,Hybrid,Automatic,1.8,195745,102492,4180,Low," 428,416,560 "
3 Series,2023,Europe,Grey,Diesel,Manual,2.7,9668,85759,4549,Low," 390,117,691 "
5 Series,2017,North America,Black,Petrol,Manual,3.2,47133,110010,7701,High," 847,187,010 "
X5,2019,Asia,Black,Petrol,Automatic,1.7,52224,57025,9097,High," 518,756,425 "
5 Series,2023,Africa,Silver,Diesel,Manual,1.8,31257,52006,6219,Low," 323,425,314 "
i8,2023,North America,Black,Hybrid,Automatic,2.4,37062,92351,7160,High," 661,233,160 "
i3,2015,Asia,Silver,Hybrid,Automatic,2.8,112902,113150,463,Low," 52,388,450 "
i3,2012,Asia,Grey,Diesel,Automatic,2.9,57939,84967,2212,Low," 187,947,004 "
M5,2016,Europe,Red,Hybrid,Automatic,1.9,190321,51568,717,Low," 36,974,256 "
X1,2013,Middle East,Silver,Hybrid,Automatic,2.3,154047,77885,5732,Low," 446,436,820 "
5 Series,2023,Africa,White,Petrol,Automatic,2.4,38934,94947,5479,Low," 520,214,613 "
X5,2018,Europe,Blue,Hybrid,Automatic,1.7,128430,119815,7181,High," 860,391,515 "
3 Series,2024,North America,Black,Electric,Automatic,2.6,122063,56662,8878,High," 503,045,236 "
X3,2014,North America,Red,Electric,Automatic,1.8,168,46781,4327,Low," 202,421,387 "
3 Series,2012,Europe,Red,Diesel,Automatic,4,138053,87091,381,Low," 33,181,671 "
X5,2011,South America,Black,Petrol,Automatic,2.9,68042,86839,1067,Low," 92,657,213 "
M5,2020,Europe,Blue,Petrol,Automatic,2.6,134476,108925,6049,Low," 658,887,325 "
M3,2011,Asia,Silver,Electric,Automatic,1.9,48321,35234,7842,High," 276,305,028 "
i8,2012,South America,Red,Electric,Automatic,2.3,25918,110722,5268,Low," 583,283,496 "
i8,2011,Middle East,White,Diesel,Automatic,2.3,155532,65152,1897,Low," 123,593,344 "
5 Series,2023,North America,Silver,Hybrid,Automatic,4.9,139986,102032,6138,Low," 626,272,416 "
M5,2013,Middle East,Blue,Diesel,Automatic,4.4,182176,45264,5078,Low," 229,850,592 "
M5,2011,Africa,Silver,Diesel,Manual,1.6,126692,109513,7072,High," 774,475,936 "
7 Series,2019,Asia,Grey,Hybrid,Automatic,3.7,70006,41311,4989,Low," 206,100,579 "
i8,2018,Europe,Black,Electric,Manual,2.4,173336,101924,8790,High," 895,911,960 "
3 Series,2011,North America,Silver,Hybrid,Manual,1.9,168933,76009,7518,High," 571,435,662 "
3 Series,2018,North America,Grey,Hybrid,Manual,4,62701,116403,5711,Low," 664,777,533 "
X1,2022,Middle East,White,Diesel,Manual,2,143975,86620,6353,Low," 550,296,860 "
5 Series,2015,Europe,Black,Petrol,Automatic,3.1,112465,57883,2185,Low," 126,474,355 "
M3,2010,North America,Red,Hybrid,Manual,3.7,136732,113954,5626,Low," 641,105,204 "
M5,2013,Europe,Grey,Hybrid,Manual,3.4,98122,48268,2287,Low," 110,388,916 "
M5,2024,Europe,Black,Petrol,Automatic,4.9,123560,67333,4726,Low," 318,215,758 "
X6,2023,Middle East,Black,Hybrid,Manual,4.3,172398,72130,5367,Low," 387,121,710 "
i8,2010,Europe,Grey,Electric,Automatic,4.2,174828,57283,7044,High," 403,501,452 "
3 Series,2023,Europe,Silver,Hybrid,Automatic,2.7,199254,101391,3630,Low," 368,049,330 "
3 Series,2015,Europe,White,Hybrid,Manual,1.5,50178,95161,1066,Low," 101,441,626 "
M3,2023,Asia,Black,Electric,Manual,4.1,113838,70810,9592,High," 679,209,520 "
i8,2022,Africa,Blue,Diesel,Manual,5,68369,84941,3477,Low," 295,339,857 "
X3,2013,Europe,Grey,Diesel,Manual,2.9,174392,101333,6277,Low," 636,067,241 "
i8,2012,North America,White,Electric,Manual,4.9,93107,59001,8831,High," 521,037,831 "
i3,2012,Middle East,Red,Petrol,Manual,2,44591,116767,6040,Low," 705,272,680 "
X3,2018,Asia,Silver,Diesel,Manual,2.5,86124,36810,3869,Low," 142,417,890 "
X6,2015,Middle East,White,Hybrid,Manual,2.1,76683,75839,1721,Low," 130,518,919 "
i3,2018,Africa,Silver,Petrol,Manual,3.2,96672,61930,9881,High," 611,930,330 "
3 Series,2022,Middle East,Black,Hybrid,Manual,4.3,184446,53091,676,Low," 35,889,516 "
X6,2014,Middle East,Red,Diesel,Automatic,2.7,133189,57073,8854,High," 505,324,342 "
7 Series,2011,Asia,Blue,Electric,Automatic,4.7,193455,43856,6024,Low," 264,188,544 "
X6,2017,Middle East,Grey,Petrol,Automatic,3.4,32022,90624,8233,High," 746,107,392 "
M5,2014,Middle East,Black,Diesel,Manual,3.1,38534,65558,874,Low," 57,297,692 "
X6,2011,South America,White,Hybrid,Manual,4.3,46105,109938,2178,Low," 239,444,964 "
M3,2013,Asia,White,Petrol,Automatic,1.9,113858,105883,6887,Low," 729,216,221 "
M5,2018,Middle East,Grey,Petrol,Automatic,4.2,176952,119181,1494,Low," 178,056,414 "
X6,2024,Africa,Black,Diesel,Manual,2.4,39704,86480,2621,Low," 226,664,080 "
7 Series,2013,Africa,Grey,Electric,Manual,2.5,67778,107093,5597,Low," 599,399,521 "
M3,2022,Europe,Black,Petrol,Manual,3.6,187086,90500,2171,Low," 196,475,500 "
3 Series,2021,Europe,Black,Petrol,Manual,4.7,127099,95321,5689,Low," 542,281,169 "
i8,2021,South America,Silver,Diesel,Automatic,3.5,93862,36928,4324,Low," 159,676,672 "
X5,2021,South America,Blue,Electric,Manual,3.8,195237,75303,8126,High," 611,912,178 "
5 Series,2022,Europe,Black,Electric,Automatic,4.2,42924,109952,3103,Low," 341,181,056 "
M3,2024,Middle East,Grey,Petrol,Automatic,2.4,188735,46995,6816,Low," 320,317,920 "
X3,2023,South America,Silver,Electric,Automatic,4.4,119517,118359,763,Low," 90,307,917 "
7 Series,2013,South America,Black,Hybrid,Automatic,3,95628,89397,4168,Low," 372,606,696 "
M5,2011,Europe,Red,Petrol,Automatic,2.1,72746,118762,9884,High," 1,173,843,608 "
M5,2022,South America,White,Petrol,Manual,2.7,190598,39697,4758,Low," 188,878,326 "
X1,2021,South America,Silver,Hybrid,Manual,2.4,110038,82750,7853,High," 649,835,750 "
5 Series,2024,Middle East,White,Diesel,Manual,2.3,124351,52055,3235,Low," 168,397,925 "
i3,2015,North America,Grey,Hybrid,Manual,2.5,31750,77486,282,Low," 21,851,052 "
X3,2022,South America,White,Electric,Manual,2.1,58445,110086,1629,Low," 179,330,094 "
M3,2020,Africa,Silver,Petrol,Automatic,3.8,52114,85364,1369,Low," 116,863,316 "
X3,2023,Africa,Blue,Diesel,Automatic,3.5,98020,39003,222,Low," 8,658,666 "
3 Series,2011,South America,Black,Petrol,Automatic,3.8,40992,62085,861,Low," 53,455,185 "
7 Series,2021,Africa,White,Petrol,Manual,2.7,66676,72378,6291,Low," 455,329,998 "
7 Series,2016,Asia,Silver,Electric,Automatic,4.2,146509,48592,7208,High," 350,251,136 "
M3,2012,Africa,Black,Petrol,Manual,2,189981,50456,328,Low," 16,549,568 "
3 Series,2024,South America,White,Electric,Automatic,3.5,194683,92425,9451,High," 873,508,675 "
X5,2012,Europe,Grey,Petrol,Automatic,2.5,56154,104432,9003,High," 940,201,296 "
i8,2014,Europe,Black,Petrol,Manual,3.3,43877,115670,2796,Low," 323,413,320 "
5 Series,2012,Africa,Blue,Electric,Manual,2.6,191082,114450,4078,Low," 466,727,100 "
M5,2011,South America,Black,Electric,Manual,4.3,21091,65845,6379,Low," 420,025,255 "
X1,2019,North America,Blue,Petrol,Manual,4.6,592,103524,2689,Low," 278,376,036 "
i8,2018,Middle East,Grey,Petrol,Automatic,4.1,22546,37525,4350,Low," 163,233,750 "
X6,2011,Europe,Red,Petrol,Automatic,2.1,67746,60293,8706,High," 524,910,858 "
X5,2023,Middle East,White,Petrol,Manual,2.5,136485,108313,1688,Low," 182,832,344 "
X5,2020,Europe,Silver,Electric,Manual,4.7,103609,68232,8621,High," 588,228,072 "
M5,2011,Middle East,Grey,Hybrid,Manual,3,61761,80689,3230,Low," 260,625,470 "
5 Series,2022,North America,White,Hybrid,Manual,4.8,162805,84255,6991,Low," 589,026,705 "
M5,2024,Middle East,White,Diesel,Automatic,2.9,79718,40611,3242,Low," 131,660,862 "
7 Series,2017,Middle East,Black,Hybrid,Automatic,4.8,69466,82510,3534,Low," 291,590,340 "
i8,2024,South America,Grey,Hybrid,Manual,4.7,43706,50575,3641,Low," 184,143,575 "
i8,2018,Asia,Blue,Electric,Automatic,3.8,7218,36580,9923,High," 362,983,340 "
X5,2016,Africa,Red,Diesel,Automatic,1.5,148289,55600,2164,Low," 120,318,400 "
7 Series,2012,Europe,Red,Diesel,Manual,2.9,9332,35907,7245,High," 260,146,215 "
X5,2018,South America,Red,Petrol,Automatic,4.7,162099,105007,7094,High," 744,919,658 "
M5,2012,Europe,Red,Hybrid,Automatic,4.6,196942,36780,7446,High," 273,863,880 "
7 Series,2014,Middle East,White,Hybrid,Manual,2.2,29045,111853,656,Low," 73,375,568 "
5 Series,2018,South America,Blue,Hybrid,Manual,2.9,112634,35735,1484,Low," 53,030,740 "
i3,2021,South America,Red,Electric,Manual,4.4,80192,80727,2720,Low," 219,577,440 "
M5,2023,Asia,Red,Diesel,Manual,3.5,113605,58432,4993,Low," 291,750,976 "
i8,2023,North America,Red,Electric,Manual,4.5,176555,71763,8065,High," 578,768,595 "
i8,2012,Asia,White,Diesel,Manual,4.4,184439,80440,6663,Low," 535,971,720 "
i3,2016,Asia,White,Electric,Automatic,4.7,52799,60253,3450,Low," 207,872,850 "
X5,2021,Africa,Black,Hybrid,Automatic,1.9,156634,61526,5596,Low," 344,299,496 "
X1,2010,Africa,Red,Diesel,Manual,2,128080,84211,6733,Low," 566,992,663 "
7 Series,2013,Europe,Silver,Petrol,Automatic,1.8,92455,77448,3347,Low," 259,218,456 "
M5,2013,Europe,Black,Diesel,Manual,4.8,47703,73079,721,Low," 52,689,959 "
X5,2016,Middle East,Red,Diesel,Manual,3.2,184890,60832,1555,Low," 94,593,760 "
i8,2017,Middle East,Grey,Petrol,Manual,1.7,179121,70305,9879,High," 694,543,095 "
3 Series,2010,Europe,White,Electric,Automatic,2.6,109682,103946,9861,High," 1,025,011,506 "
5 Series,2014,Europe,White,Petrol,Automatic,2.7,157013,36573,8111,High," 296,643,603 "
i3,2016,Africa,Blue,Hybrid,Manual,4.3,155406,99548,6833,Low," 680,211,484 "
3 Series,2021,Middle East,Red,Hybrid,Manual,4.1,54636,30008,5554,Low," 166,664,432 "
M3,2013,Asia,Blue,Petrol,Manual,3.9,77076,30955,7610,High," 235,567,550 "
M5,2022,North America,Silver,Petrol,Manual,1.6,45146,89175,6120,Low," 545,751,000 "
M5,2013,Europe,Blue,Electric,Manual,4.7,63247,87412,9345,High," 816,865,140 "
5 Series,2013,Africa,Grey,Electric,Automatic,2.3,48376,109258,1871,Low," 204,421,718 "
i3,2021,North America,White,Petrol,Manual,3.7,65582,97495,7917,High," 771,867,915 "
i3,2015,North America,Red,Electric,Manual,1.7,86339,116248,3670,Low," 426,630,160 "
3 Series,2016,South America,Black,Petrol,Automatic,1.8,96087,69680,4714,Low," 328,471,520 "
M3,2011,South America,Blue,Petrol,Automatic,1.5,66124,98562,7197,High," 709,350,714 "
i3,2024,Europe,White,Hybrid,Manual,3.5,23812,47527,248,Low," 11,786,696 "
X5,2014,Africa,Grey,Hybrid,Automatic,3.7,197735,31016,5410,Low," 167,796,560 "
i3,2013,Africa,Black,Electric,Manual,1.7,179104,76115,7923,High," 603,059,145 "
7 Series,2024,North America,Red,Diesel,Automatic,2.5,165497,74759,9799,High," 732,563,441 "
X6,2023,Africa,Blue,Petrol,Manual,4.5,484,66352,8528,High," 565,849,856 "
X5,2022,Europe,Silver,Petrol,Automatic,1.9,118983,97266,4081,Low," 396,942,546 "
i3,2012,North America,Grey,Hybrid,Manual,2.3,159058,66951,673,Low," 45,058,023 "
3 Series,2016,North America,White,Petrol,Manual,3,125193,39062,5241,Low," 204,723,942 "
X5,2020,South America,Red,Petrol,Manual,4.4,146921,56573,1391,Low," 78,693,043 "
M3,2021,Africa,White,Diesel,Manual,2.4,64678,62352,659,Low," 41,089,968 "
7 Series,2015,North America,Blue,Petrol,Automatic,5,130556,87431,3512,Low," 307,057,672 "
X5,2023,Middle East,Blue,Hybrid,Manual,2.7,18898,84873,3868,Low," 328,288,764 "
X1,2016,South America,Blue,Hybrid,Automatic,2.9,162974,38138,6969,Low," 265,783,722 "
7 Series,2014,Asia,Grey,Diesel,Manual,1.9,150605,36524,2658,Low," 97,080,792 "
7 Series,2022,North America,Grey,Hybrid,Automatic,3.9,32216,51886,2934,Low," 152,233,524 "
i3,2015,Africa,Grey,Electric,Manual,2.4,81415,117787,6780,Low," 798,595,860 "
X6,2014,Asia,Silver,Diesel,Automatic,3.7,163747,69624,4774,Low," 332,384,976 "
3 Series,2023,Africa,White,Electric,Automatic,2.3,19307,55911,4241,Low," 237,118,551 "
i8,2016,Africa,White,Hybrid,Automatic,2.9,104709,116376,7333,High," 853,385,208 "
X3,2011,Europe,White,Hybrid,Manual,4.5,127803,113859,5254,Low," 598,215,186 "
X1,2023,Asia,Black,Electric,Manual,4.1,65245,109034,8995,High," 980,760,830 "
X1,2020,Asia,Black,Diesel,Manual,2,171495,74039,3633,Low," 268,983,687 "
i3,2014,Middle East,Blue,Petrol,Automatic,3.6,58213,77291,7246,High," 560,050,586 "
M3,2015,Europe,Grey,Diesel,Manual,3.7,94308,64835,1146,Low," 74,300,910 "
5 Series,2015,Europe,Grey,Diesel,Automatic,1.8,189366,80896,8707,High," 704,361,472 "
M3,2024,Middle East,Silver,Hybrid,Automatic,3.1,41593,85139,8261,High," 703,333,279 "
X6,2014,South America,Black,Electric,Automatic,2.4,153042,108218,5648,Low," 611,215,264 "
i3,2019,South America,Blue,Electric,Manual,3.1,83433,35600,6978,Low," 248,416,800 "
X5,2016,Middle East,Blue,Electric,Manual,4.2,145834,59708,2414,Low," 144,135,112 "
M5,2019,Middle East,Red,Petrol,Manual,2.1,86737,68981,3537,Low," 243,985,797 "
X1,2017,Asia,Red,Electric,Automatic,1.9,188670,60056,5056,Low," 303,643,136 "
5 Series,2016,Middle East,Blue,Electric,Manual,2.4,99684,63127,4290,Low," 270,814,830 "
M5,2014,North America,Red,Diesel,Manual,4.8,156859,34718,9773,High," 339,299,014 "
3 Series,2010,South America,White,Diesel,Manual,4.1,133584,64453,1564,Low," 100,804,492 "
M5,2022,North America,Blue,Petrol,Automatic,1.6,168660,115293,7821,High," 901,706,553 "
M5,2014,North America,Blue,Hybrid,Manual,2.9,44534,52947,3284,Low," 173,877,948 "
5 Series,2019,South America,Blue,Diesel,Manual,2.4,61002,114525,4641,Low," 531,510,525 "
X5,2011,Asia,Red,Petrol,Automatic,3.7,160700,94381,7801,High," 736,266,181 "
X6,2022,Middle East,Red,Hybrid,Automatic,3.1,193103,110759,9042,High," 1,001,482,878 "
7 Series,2014,Asia,Red,Electric,Manual,4.9,145480,62866,8174,High," 513,866,684 "
M5,2014,South America,Blue,Diesel,Manual,2.3,104562,86203,8989,High," 774,878,767 "
i3,2011,North America,Black,Hybrid,Automatic,3.6,196374,93060,6056,Low," 563,571,360 "
i3,2014,South America,Blue,Diesel,Manual,4,144486,59533,8495,High," 505,732,835 "
7 Series,2022,South America,Grey,Hybrid,Manual,4.4,124438,78917,3895,Low," 307,381,715 "
5 Series,2013,Middle East,White,Hybrid,Manual,2.9,99123,99716,1828,Low," 182,280,848 "
i3,2010,Africa,White,Diesel,Manual,3.9,33026,61498,5649,Low," 347,402,202 "
X5,2012,Africa,Red,Diesel,Automatic,2.6,195248,82888,4315,Low," 357,661,720 "
X5,2010,Europe,White,Petrol,Automatic,3,77381,34557,5481,Low," 189,406,917 "
X6,2021,Europe,Grey,Hybrid,Manual,4.6,73875,72872,3629,Low," 264,452,488 "
i8,2020,Europe,Black,Petrol,Manual,4.8,85198,46957,8816,High," 413,972,912 "
X5,2024,North America,Silver,Petrol,Automatic,4,151149,86514,4077,Low," 352,717,578 "
M3,2014,Middle East,Grey,Diesel,Manual,2.8,40695,53983,6368,Low," 343,763,744 "
M3,2013,Asia,Black,Electric,Manual,4.4,174661,93510,9204,High," 860,666,040 "
X6,2016,Middle East,Silver,Hybrid,Automatic,1.6,14750,94885,1901,Low," 180,376,385 "
5 Series,2014,Europe,Grey,Diesel,Manual,1.9,197519,38947,3314,Low," 129,070,358 "
X1,2019,Europe,White,Electric,Automatic,3.8,150556,50191,8412,High," 422,206,692 "
M5,2023,South America,Blue,Electric,Manual,2.5,139541,70759,4349,Low," 307,730,891 "
i3,2013,Asia,Blue,Petrol,Manual,4.8,79527,83843,9381,High," 786,531,183 "
